공동활용가능여부,AI교육여부,AI교육분류,콘텐츠명,참여대상,활용예시,학문분류,주제,차시,총시간(분),제작부서,제작연도,공동활용 불가사유,저작권 보유여부
예,O,피지컬AI,로봇제어장치설계,학부생,정규수업,공학,전자회로/제어장치/소프트웨어활용/설계능력,33 ,990 ,울산·경남지역혁신플랫폼대학교육혁신본부,2020 ,해당없음,예
예,X,해당없음,사운드실험실,학부생,정규수업,예술·체육,전자음악/마이크/케이블/스피커/아날로그믹서/로직프로,30 ,864 ,교육혁신처공동교육센터,2024 ,해당없음,예
예,X,해당없음,세대를넘나드는음악여행,학부생,정규수업,예술·체육,음악사/오페라/교향곡/낭만주의음악/실내악/미국팝음악/K-POP,30 ,848 ,교육혁신처공동교육센터,2024 ,해당없음,예
예,X,해당없음,유럽미술관속명작스캔들,학부생,정규수업,예술·체육,서양미술사/레오나르도다빈치/미켈란젤로/인상주의/표현주의/미국팝아트,30 ,845 ,교육혁신처공동교육센터,2024 ,해당없음,예
예,X,해당없음,일상속웰빙을위한운동가이드,학부생,정규수업,예술·체육,맨몸운동/스쿼트/피지컬트레이닝/요가/교정요가,30 ,884 ,교육혁신처공동교육센터,2024 ,해당없음,예
예,O,디지털(생성형) AI,생성형AI이해와활용,대학원생,비교과,정보기술,chatgpt/생성형인공지능/논문아이디어생성,6 ,209 ,대학원행정실,2023 ,해당없음,예
예,X,해당없음,연구자기초소양강좌,대학원생,비교과,교양,연구윤리/연구자기초소양,17 ,489 ,대학원행정실,2023 ,해당없음,예
예,X,해당없음,프로그래밍과자료구조,학부생,정규수업,정보기술,C프로그래밍/프로그래밍기초/자료구조/알고리즘기초/컴퓨터공학기반,39 ,1125 ,항공드론혁신융합대학사업단,2023 ,해당없음,예
예,X,해당없음,항공우주학기초탐구,학부생,정규수업,기타,항공우주공학기초/항공추진/우주추진/엔진이론/항공우주입문교육,15 ,488 ,항공드론혁신융합대학사업단,2024 ,해당없음,예
예,O,피지컬AI,항공드론3D프린팅기초,학부생,정규수업,공학,3D프린팅기초/CAD설계/3D프린팅실습/부품제조기술/항공드론디자인,39 ,1125 ,항공드론혁신융합대학사업단,2024 ,해당없음,예
예,O,피지컬AI,항공드론SW패키지활용,학부생,정규수업,공학,항공드론소프트웨어/공력및구조이론/드론제어기초/신호처리응용/SW패키지활용실습,39 ,1215 ,항공드론혁신융합대학사업단,2024 ,해당없음,예
예,O,피지컬AI,항공드론CAD응용,학부생,정규수업,공학,CAD응용설계/항공드론모델링/구조및부품배치/시스템통합설계/드론설계실습,39 ,1162 ,항공드론혁신융합대학사업단,2024 ,해당없음,예
